Scientific Name | Nom scientifique,Taxonomic Kingdom | Règne taxonomique,Taxonomic Rank | Rang taxonomique,Province/Territory | Province/territoire,Province/Territory Code | Code du Province/territoire,Country | Pays,Country Code | Code du pays,Collection Code | Code de la collection
"Aphelenchoides bicaudatus (Imamura, 1931) Filipjev & Schuurmans Stekhoven, 1941",Animalia,species | espèce,New Brunswick | Nouveau-Brunswick,NB,Canada,CA,CNC
"Axonolaimus interrogativus Wieser, 1959",Animalia,species | espèce,New Brunswick | Nouveau-Brunswick,NB,Canada,CA,CNC
"Bakernema inaequale (Taylor, 1936) Mehta & Raski, 1971",Animalia,species | espèce,New Brunswick | Nouveau-Brunswick,NB,Canada,CA,CNC
"Bathylaimus australis Cobb, 1894",Animalia,species | espèce,New Brunswick | Nouveau-Brunswick,NB,Canada,CA,CNC
"Bathylaimus stenolaimus Schuurmans-Stekhoven & De Coninck, 1933",Animalia,species | espèce,New Brunswick | Nouveau-Brunswick,NB,Canada,CA,CNC
"Calligyrus stokesi Timm, 1971",Animalia,species | espèce,New Brunswick | Nouveau-Brunswick,NB,Canada,CA,CNC
"Criconema longulum Gunhold, 1953",Animalia,species | espèce,New Brunswick | Nouveau-Brunswick,NB,Canada,CA,CNC
"Criconema sphagni Micoletzky, 1925",Animalia,species | espèce,New Brunswick | Nouveau-Brunswick,NB,Canada,CA,CNC
"Enoplus communis Bastian, 1865",Animalia,species | espèce,New Brunswick | Nouveau-Brunswick,NB,Canada,CA,CNC
"Euteratocephalus palustris (de Man, 1880) Andrássy, 1958",Animalia,species | espèce,New Brunswick | Nouveau-Brunswick,NB,Canada,CA,CNC
"Haliplectus bickneri Chitwood, 1956",Animalia,species | espèce,New Brunswick | Nouveau-Brunswick,NB,Canada,CA,CNC
"Haliplectus pellucidus Cobb, 1913",Animalia,species | espèce,New Brunswick | Nouveau-Brunswick,NB,Canada,CA,CNC
"Heterodera cruciferae Franklin, 1945",Animalia,species | espèce,New Brunswick | Nouveau-Brunswick,NB,Canada,CA,CNC
"Hoplolaimus galeatus (Cobb, 1913)",Animalia,species | espèce,New Brunswick | Nouveau-Brunswick,NB,Canada,CA,CNC
"Ogma cobbi (Micoletzky, 1925) Siddiqi, 1986",Animalia,species | espèce,New Brunswick | Nouveau-Brunswick,NB,Canada,CA,CNC
"Ogma seymouri (Wu, 1965) Siddiqi, 1986",Animalia,species | espèce,New Brunswick | Nouveau-Brunswick,NB,Canada,CA,CNC
"Oxydirus oxycephalus (de Man, 1885) Thorne, 1939",Animalia,species | espèce,New Brunswick | Nouveau-Brunswick,NB,Canada,CA,CNC
"Paracyatholaimus intermedius (de Man, 1880) Micoletzky, 1922",Animalia,species | espèce,New Brunswick | Nouveau-Brunswick,NB,Canada,CA,CNC
"Paratylenchus hamatus Thorne & Allen, 1950",Animalia,species | espèce,New Brunswick | Nouveau-Brunswick,NB,Canada,CA,CNC
"Paratylenchus projectus Jenkins, 1956",Animalia,species | espèce,New Brunswick | Nouveau-Brunswick,NB,Canada,CA,CNC
"Plectus amorphotelus Ebsary, 1985",Animalia,species | espèce,New Brunswick | Nouveau-Brunswick,NB,Canada,CA,CNC
"Plectus longicaudatus Bütschli, 1873",Animalia,species | espèce,New Brunswick | Nouveau-Brunswick,NB,Canada,CA,CNC
"Pratylenchus crenatus Loof, 1960",Animalia,species | espèce,New Brunswick | Nouveau-Brunswick,NB,Canada,CA,CNC
"Pratylenchus penetrans (Cobb, 1917) Filipjev & Schuurmans Stekhoven, 1941",Animalia,species | espèce,New Brunswick | Nouveau-Brunswick,NB,Canada,CA,CNC
"Pratylenchus vulnus Allen & Jensen, 1951",Animalia,species | espèce,New Brunswick | Nouveau-Brunswick,NB,Canada,CA,CNC
"Punctodera punctata (Thorne, 1928) Mulvey & Stone, 1976",Animalia,species | espèce,New Brunswick | Nouveau-Brunswick,NB,Canada,CA,CNC
"Tylenchorhynchus dubius (Bütschli, 1873) Filipjev, 1936",Animalia,species | espèce,New Brunswick | Nouveau-Brunswick,NB,Canada,CA,CNC
"Tylenchorhynchus maximus Allen, 1955",Animalia,species | espèce,New Brunswick | Nouveau-Brunswick,NB,Canada,CA,CNC
"Mesocriconema axeste (Fassuliotis & Williamson, 1959) Loof & De Grisse, 1989",Animalia,species | espèce,New Brunswick | Nouveau-Brunswick,NB,Canada,CA,CNC
"Mesocriconema xenoplax (Raski, 1952) Loof & De Grisse, 1989",Animalia,species | espèce,New Brunswick | Nouveau-Brunswick,NB,Canada,CA,CNC
"Amplimerlinius amplus Siddiqi, 1976",Animalia,species | espèce,Newfoundland and Labrador | Terre-Neuve-et-Labrador,NL,Canada,CA,CNC
"Atylenchus decalineatus Cobb, 1913",Animalia,species | espèce,Newfoundland and Labrador | Terre-Neuve-et-Labrador,NL,Canada,CA,CNC
"Cactodera cacti (Filipjev & Schuurmans Stekhoven, 1941) Krall & Krall, 1978",Animalia,species | espèce,Newfoundland and Labrador | Terre-Neuve-et-Labrador,NL,Canada,CA,CNC
"Criconema demani Micoletzky, 1925",Animalia,species | espèce,Newfoundland and Labrador | Terre-Neuve-et-Labrador,NL,Canada,CA,CNC
"Criconema longulum Gunhold, 1953",Animalia,species | espèce,Newfoundland and Labrador | Terre-Neuve-et-Labrador,NL,Canada,CA,CNC
"Criconema sphagni Micoletzky, 1925",Animalia,species | espèce,Newfoundland and Labrador | Terre-Neuve-et-Labrador,NL,Canada,CA,CNC
"Ditylenchus dipsaci (Kühn, 1857) Filipjev, 1936",Animalia,species | espèce,Newfoundland and Labrador | Terre-Neuve-et-Labrador,NL,Canada,CA,CNC
"Helicotylenchus pseudorobustus (Steiner, 1914) Golden, 1956",Animalia,species | espèce,Newfoundland and Labrador | Terre-Neuve-et-Labrador,NL,Canada,CA,CNC
"Hemicycliophora uniformis Thorne, 1955",Animalia,species | espèce,Newfoundland and Labrador | Terre-Neuve-et-Labrador,NL,Canada,CA,CNC
"Heterodera avenae Wollenweber, 1924",Animalia,species | espèce,Newfoundland and Labrador | Terre-Neuve-et-Labrador,NL,Canada,CA,CNC
"Heterodera schachtii A. Schmidt, 1871",Animalia,species | espèce,Newfoundland and Labrador | Terre-Neuve-et-Labrador,NL,Canada,CA,CNC
"Heterodera trifolii Goffart, 1932",Animalia,species | espèce,Newfoundland and Labrador | Terre-Neuve-et-Labrador,NL,Canada,CA,CNC
"Ironus terranovus Ebsary, 1985",Animalia,species | espèce,Newfoundland and Labrador | Terre-Neuve-et-Labrador,NL,Canada,CA,CNC
"Mononchus truncatus Bastian, 1865",Animalia,species | espèce,Newfoundland and Labrador | Terre-Neuve-et-Labrador,NL,Canada,CA,CNC
"Ogma seymouri (Wu, 1965) Siddiqi, 1986",Animalia,species | espèce,Newfoundland and Labrador | Terre-Neuve-et-Labrador,NL,Canada,CA,CNC
"Paramononchus arcticus Mulvey, 1978",Animalia,species | espèce,Newfoundland and Labrador | Terre-Neuve-et-Labrador,NL,Canada,CA,CNC
"Punctodera punctata (Thorne, 1928) Mulvey & Stone, 1976",Animalia,species | espèce,Newfoundland and Labrador | Terre-Neuve-et-Labrador,NL,Canada,CA,CNC
"Tylenchorhynchus dubius (Bütschli, 1873) Filipjev, 1936",Animalia,species | espèce,Newfoundland and Labrador | Terre-Neuve-et-Labrador,NL,Canada,CA,CNC
"Tylenchorhynchus maximus Allen, 1955",Animalia,species | espèce,Newfoundland and Labrador | Terre-Neuve-et-Labrador,NL,Canada,CA,CNC
"Aphelenchoides arcticus Sanwal, 1965",Animalia,species | espèce,Northwest Territories | Territoires du Nord-Ouest,NT,Canada,CA,CNC
"Arctidorylaimus arcticus Mulvey & Anderson, 1979",Animalia,species | espèce,Northwest Territories | Territoires du Nord-Ouest,NT,Canada,CA,CNC
"Bastiania gracilis de Man, 1876",Animalia,species | espèce,Northwest Territories | Territoires du Nord-Ouest,NT,Canada,CA,CNC
"Capitomermis micropeos Mulvey & Nickle, 1978",Animalia,species | espèce,Northwest Territories | Territoires du Nord-Ouest,NT,Canada,CA,CNC
"Cylindrolaimus melancholicus de Man, 1880",Animalia,species | espèce,Northwest Territories | Territoires du Nord-Ouest,NT,Canada,CA,CNC
"Ethmolaimus pratensis de Man, 1880",Animalia,species | espèce,Northwest Territories | Territoires du Nord-Ouest,NT,Canada,CA,CNC
"Gastromermis pachopeos Mulvey & Nickle, 1978",Animalia,species | espèce,Northwest Territories | Territoires du Nord-Ouest,NT,Canada,CA,CNC
"Geocenamus arcticus (Mulvey, 1969) Tarjan, 1973",Animalia,species | espèce,Northwest Territories | Territoires du Nord-Ouest,NT,Canada,CA,CNC
"Geocenamus longus (Wu, 1969) Tarjan, 1973",Animalia,species | espèce,Northwest Territories | Territoires du Nord-Ouest,NT,Canada,CA,CNC
"Hydromermis conopophaga Poinar, 1968",Animalia,species | espèce,Northwest Territories | Territoires du Nord-Ouest,NT,Canada,CA,CNC
"Hydromermis macrospiculatus Mulvey & Nickle, 1978",Animalia,species | espèce,Northwest Territories | Territoires du Nord-Ouest,NT,Canada,CA,CNC
"Microlaimus arcticus Mulvey, 1969",Animalia,species | espèce,Northwest Territories | Territoires du Nord-Ouest,NT,Canada,CA,CNC
"Mononchus truncatus Bastian, 1865",Animalia,species | espèce,Northwest Territories | Territoires du Nord-Ouest,NT,Canada,CA,CNC
"Nagelus leptus (Allen, 1955) Siddiqi, 1979",Animalia,species | espèce,Northwest Territories | Territoires du Nord-Ouest,NT,Canada,CA,CNC
"Neomesomermis flumenalis (Welch, 1962)",Animalia,species | espèce,Northwest Territories | Territoires du Nord-Ouest,NT,Canada,CA,CNC
"Neomesomermis welchi Mulvey & Nickle, 1978",Animalia,species | espèce,Northwest Territories | Territoires du Nord-Ouest,NT,Canada,CA,CNC
"Neomesomermis yukonensis Mulvey & Nickle, 1978",Animalia,species | espèce,Northwest Territories | Territoires du Nord-Ouest,NT,Canada,CA,CNC
"Nothotylenchus acris Thorne, 1941",Animalia,species | espèce,Northwest Territories | Territoires du Nord-Ouest,NT,Canada,CA,CNC
"Nothotylenchus attenuatus Mulvey, 1969",Animalia,species | espèce,Northwest Territories | Territoires du Nord-Ouest,NT,Canada,CA,CNC
"Nothotylenchus danubialis Andrássy, 1960",Animalia,species | espèce,Northwest Territories | Territoires du Nord-Ouest,NT,Canada,CA,CNC
"Paractinolaimus spanithelus Eveleigh, 1982",Animalia,species | espèce,Northwest Territories | Territoires du Nord-Ouest,NT,Canada,CA,CNC
"Paramononchus arcticus Mulvey, 1978",Animalia,species | espèce,Northwest Territories | Territoires du Nord-Ouest,NT,Canada,CA,CNC
"Plectus cirratus Bastian, 1865",Animalia,species | espèce,Northwest Territories | Territoires du Nord-Ouest,NT,Canada,CA,CNC
"Rhabdolaimus terrestris de Man, 1880",Animalia,species | espèce,Northwest Territories | Territoires du Nord-Ouest,NT,Canada,CA,CNC
"Rhyssocolpus arcticus Ebsary, 1984",Animalia,species | espèce,Northwest Territories | Territoires du Nord-Ouest,NT,Canada,CA,CNC
"Teratocephalus lirellus Anderson, 1969",Animalia,species | espèce,Northwest Territories | Territoires du Nord-Ouest,NT,Canada,CA,CNC
"Tylenchus neodavainei Wu, 1969",Animalia,species | espèce,Northwest Territories | Territoires du Nord-Ouest,NT,Canada,CA,CNC
"Tylenchus stylolineatus Wu, 1969",Animalia,species | espèce,Northwest Territories | Territoires du Nord-Ouest,NT,Canada,CA,CNC
"Hadrodenus megacondylus Mulvey, 1969",Animalia,species | espèce,Northwest Territories | Territoires du Nord-Ouest,NT,Canada,CA,CNC
"Acrobeloides apiculatus (Thorne, 1925) Thorne, 1937",Animalia,species | espèce,Nova Scotia | Nouvelle-Écosse,NS,Canada,CA,CNC
"Acrobeloides nanus (de Man, 1880) Anderson, 1968",Animalia,species | espèce,Nova Scotia | Nouvelle-Écosse,NS,Canada,CA,CNC
"Anaplectus porosus Allen & Noffsinger, 1968",Animalia,species | espèce,Nova Scotia | Nouvelle-Écosse,NS,Canada,CA,CNC
"Aphelenchus avenae Bastian, 1865",Animalia,species | espèce,Nova Scotia | Nouvelle-Écosse,NS,Canada,CA,CNC
"Bakernema inaequale (Taylor, 1936) Mehta & Raski, 1971",Animalia,species | espèce,Nova Scotia | Nouvelle-Écosse,NS,Canada,CA,CNC
"Chromadora nudicapitata Bastian, 1865",Animalia,species | espèce,Nova Scotia | Nouvelle-Écosse,NS,Canada,CA,CNC
"Chromadorina germanica (Bütschli, 1874) Wieser, 1954",Animalia,species | espèce,Nova Scotia | Nouvelle-Écosse,NS,Canada,CA,CNC
"Chronogaster longicollis (Daday, 1899) Andrássy, 1958",Animalia,species | espèce,Nova Scotia | Nouvelle-Écosse,NS,Canada,CA,CNC
"Criconema sphagni Micoletzky, 1925",Animalia,species | espèce,Nova Scotia | Nouvelle-Écosse,NS,Canada,CA,CNC
